"pos_05_Brarut_1.A.6_01_7401"	"pos_10_Brarut_1.B.3_01_7408"	"pos_15_Calcus_1.B.8_01_7415"	"pos_17_Calcus_1.C.2_01_7417"	"pos_01_Fistax_1.A.2_01_7396"	"pos_02_Fistax_1.A.3_01_7398"	"pos_04_Gripul_1.A.5_01_7400"	"pos_23_Gripul_1.C.8_01_7425"	"pos_09_Hypcup_1.B.2_01_7407"	"pos_21_Hypcup_1.C.6_01_7421"	"pos_25_Marpol_1.D.2_01_7427"	"pos_26_Marpol_1.D.3_01_7428"	"pos_12_Plaund_1.B.5_01_7410"	"pos_13_Plaund_1.B.6_01_7411"	"pos_06_Polstr_1.A.7_01_7402"	"pos_07_Polstr_1.A.8_01_7403"
8.46024	9.464756	8.854132	8.844067	7.268065	7.632913	8.604034	9.395708	8.796612	8.55032	8.056996	8.824183	9.43811	8.524816	0	7.51873
0	8.959173	7.35537	8.255537	0	0	0	0	0	6.651324	0	0	0	0	8.585441	0
8.035336	7.765875	7.840776	7.260146	7.002207	7.699473	7.606018	7.71132	8.110699	7.86532	7.728134	8.082617	6.960802	6.911381	7.149211	8.04942
8.019876	7.35104	8.073267	7.339465	7.701479	7.764306	8.154489	8.042989	8.085665	8.242243	7.434517	7.825728	7.775508	7.445371	8.365853	7.327833
0	0	0	0	0	0	0	0	0	0	7.359343	7.532889	0	0	0	0
7.979719	8.051417	7.839861	7.981139	7.437325	7.721917	7.026432	7.639193	7.110187	6.641148	9.018217	8.181113	6.984316	6.975249	7.780861	8.005177
7.012253	7.509383	7.633494	7.383599	7.259081	7.267319	6.926334	7.323332	7.358439	7.092474	6.870491	6.574659	6.615969	7.187784	6.327537	6.818478
0	0	0	0	0	0	0	0	0	0	0	5.141804	7.081238	0	0	0
7.871813	7.67692	7.923195	7.381018	7.68904	7.762588	10.022821	8.568986	7.635837	7.655079	7.833661	8.57362	6.35009	6.94269	7.911567	8.386705
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.667262
9.587316	8.948417	8.320103	8.292388	8.956624	8.125124	8.484191	8.654317	10.090578	9.124418	6.466611	7.722497	9.768137	8.282325	8.651324	6.442515
0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.989338	9.940658
8.17115	8.718221	8.855369	0	0	0	7.499805	8.205554	8.721824	7.237565	0	0	8.779869	7.90266	8.120025	7.94355
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.971789	7.088884	8.028498	6.925674	6.510128	7.386768	7.661305	6.792048	7.402206	7.508516	7.879534	8.79107	6.624725	6.724563	6.999452	7.398972
7.52295	7.684051	8.391501	8.39048	7.694282	8.520185	8.434288	8.167248	8.241613	8.345556	7.826996	8.011083	8.293408	8.076684	8.022579	8.638609
8.732768	8.951998	9.26319	9.773355	9.485252	9.837199	9.461511	9.991991	0	10.88276	0	0	9.608277	9.224724	0	0
8.061215	7.278386	8.55821	7.647183	7.696082	7.342298	8.180227	7.286914	7.928595	8.32385	7.860278	7.168037	7.705222	8.120924	7.682465	7.241703
7.449484	7.351966	8.027691	7.396914	7.157352	7.785526	7.800154	7.845654	7.702361	7.713831	6.637772	7.328495	7.46814	6.92046	7.100092	7.643331
7.464187	7.784163	8.155625	7.63681	7.636812	7.736384	8.017455	8.108585	7.272932	7.478306	7.274438	7.631276	8.121694	8.083561	7.925319	8.274292
0	0	0	0	0	0	0	0	0	0	6.572294	0	7.216815	6.840763	0	0
8.924566	8.838059	8.849045	9.309732	8.435528	8.313946	8.850648	8.91229	8.309573	7.473345	7.525127	7.71263	7.82457	7.680726	7.841304	8.54471
7.640429	7.777466	7.670301	7.837663	7.422988	7.475783	7.456966	7.302826	7.738436	7.580493	7.640063	7.704292	7.46153	7.568743	7.514077	7.529286
0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.690758	8.914685
9.180937	9.632864	11.416244	10.531578	0	0	9.473102	0	10.770748	12.091493	9.293787	0	7.583332	0	0	0
7.36705	7.666831	7.64761	7.714285	7.624042	7.309791	7.046459	0	7.871692	7.434119	7.929746	6.947103	8.695523	7.955951	8.585754	6.298167
7.970035	7.489712	7.780861	7.57738	7.95753	7.843851	7.711875	8.124286	7.669181	7.73418	7.726802	8.128656	7.723389	7.703423	8.172918	8.094378
7.801695	8.64451	7.713442	7.981813	7.110572	7.87133	8.00626	7.073284	9.042016	8.530492	6.842368	6.626846	11.676509	7.448662	7.68506	7.890268
8.924509	8.755758	9.038663	8.754421	8.684328	9.078044	8.622629	9.054096	8.891441	9.309926	8.541345	9.199228	9.116746	8.854616	8.687013	8.949475
7.70632	7.877256	7.667614	7.952933	7.541365	8.027252	7.71578	7.799353	8.460241	7.900296	6.393163	7.160581	7.770988	8.223516	7.686295	7.59148
8.485727	0	0	0	0	7.728726	0	0	8.22232	0	0	8.950553	7.834135	9.009146	6.82	7.437885
0	0	0	0	0	0	0	0	0	0	0	5.734816	0	0	0	0
0	0	0	0	0	0	0	0	0	0	9.965076	0	0	0	0	0
5.749902	0	0	0	8.400934	0	7.466591	7.260967	0	0	6.739937	7.298593	7.393406	8.072149	7.285754	7.106344
8.316105	8.59225	8.209184	7.860915	7.569957	8.0511	8.290388	8.03496	8.609936	8.087284	8.021404	8.040577	8.115113	8.831571	7.564222	7.790877
6.710156	6.778402	6.704176	6.761008	5.964606	6.589532	6.784728	6.980574	6.639655	6.689153	6.357107	6.630337	6.696106	6.595649	6.690277	6.575578
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.213719	8.001025	0	7.0214	5.401596	5.682436	0	0	0	0	8.270269	0	0	0	8.651089	7.095599
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
